food_name, category1, category2,ingredients,contents
어묵김말이,디저트,튀김,[재료] 어묵 2개| 김밥용김 3장| 당면 1움큼| 양파 1/2개| 당근 1/2개| 깻잎 6장| 튀김가루 1컵 | 올리브유 적당량| 간장 1T| 참기름 1T,"1. 당근과 양파는 깨끗히 씻으신 후에 채썰어 준비한 후 후라이팬에 기름을 두르고 팬을 달군 후 당근, 양파를 살짝 볶아주세요. 
2. 삶은 당면과 볶은야채를 넣고 잘 섞어주세요.이때 간장1T, 참기름1t 를 넣어서 간을 해주세요. 
3. 나무 젓가락을 이용해 어묵구멍속에 당면과 야채를 어묵을 꾹꾹 눌러가면서 속을 채워주세요. 
4. 김을 깔고 그 위에 속을 채운 어묵을 올려놓은 뒤돌돌 말아주세요.녹말물이나 튀김옷 물을 묻혀서 마무리 해주세요. 
5. 잘 말은 김말이에 녹말가루를 살짝 묻혀주세요.튀김가루 또는 밀가루를 이용해 튀김옷을 만들어주세요 
6. 잘 달군 팬에 기름을 넉넉히 부어주신 다음얇게 튀김옷을 입힌 김말이를 튀겨주세요.
7. 튀긴 김말이를 키친타올에 올려 불필요한 기름을 빼주세요."
두부새우전,밑반찬,부침,[재료] 두부 1/2모| 당근 1/2개| 고추 2개| 브로콜리 1/4개| 새우 4마리| 녹말가루| 계란 1개,"1. 당근, 브로콜리, 고추를 잘게 다져주세요.
2. 두부를 칼등으로 으깨주세요.
3. 그 다음 거즈를 이용해 으깬 두부의 물기를 쪼-옥 빼주세요. 
4. 으깬 두부와 다져 놓은 야채를 넣고 주물럭 주물럭 잘 섞어주세요. 이때 소금간을 조금 해주세요.
5. 새우는 머리를 제거하고 이쑤시개로 내장을 제거 한 후에 반으로 갈라서 준비해주세요.
6. 새우를 녹말가루에 묻힌 다음 톡톡톡 털어주세요.
7. 녹말가루를 묻힌 새우를 계란물에 퐁당 담가주세요.
8. 새우를 두부사이에 넣고 토닥토닥 하면서 모양을 만들어 주세요.
9. 모양을 만든 두부새우에 녹말가루를 한번 더 묻혀주세요.
10. 달군 팬에 기름을 두른 후
11. 두부새우에 계란물을 묻혀 노릇노릇 지져주세요.
12. 노릇노릇 지져낸 두부새우전을 키친타올에 올려 불필요한 기름을 빼주세요."
알밥,밥/죽/떡,굽기,[재료] 밥 1+1/2공기| 당근 1/4개| 치자단무지 1/2개| 신김치 1쪽| 무순 약간| 날치알 6스푼| 김가루 약간| 후리가케(또는밥이랑같은류)| 참기름 약간| 통깨 약간| 계란 노른자 2알,"1. '무순'은 흐르는 물에 살살 씻어서 키친타올에 올려 물기를 제거해주시구요.'당근'은 송송송 다져서 준비해 주세요.'김치'와'단무지'는 송송송 다져서 거즈를 이용해 물기를 짜주세요.이외에도 오이, 양파, 맛살, 옥수수등 좋아하는 재료를 다져서 준비해주세요. 
2. 뚝배기에 참기름 1-2방울을 떨어뜨려서 주세요. 그래야지 밥이 마구잡이로 눌러 붙지 않거든요.
3. 참기름을 골고루 발라준뒤 불에 올려 뚝배기를 뜨끈뜨끈하게 데워주세요.
4. 밥에 후리가케, 날치알1T, 통깨약간, 김가루를 넣고 섞어주세요. 이 과정은 생략해도 되지만 이렇게 한번 밥에 양념을 해주면 더 맛있더라구요~ 
5. 잘 달궈진 뚝배기에 4에서 준비해 둔 밥을 넣어주세요. 그 다음 김치, 단무지, 당근, 무순등을 올리고 계란 노른자, 날치알을 듬뿍 올리면 완성!"
현미호두죽,밥/죽/떡,끓이기,[재료] 현미 4컵| 찹쌀 2컵| 호두 50g| 물 1/2컵| 소금 약간,"1. 현미와 찹쌀은 씻어서 불린 후 분말기로 적당히 간다.
2. 호두는 끓는 물에 데친 후 물기를 뺀 다음 분말기에 곱게 간다.
3. 냄비에 분량의 물과 현미, 찹쌀을 넣고 끓어오르면 불을 중한 불로 줄여 쌀알이 퍼질 때까지 끓인다.
4. 어느 정도 익으면 호두 간 것을 넣어 한소끔 더 끓인다.
5. 불을 끄고 뚜껑을 덮은 채 약 10분간 뜸을 들인 다음 소금으로 간한다."
북어갈비,메인반찬,굽기,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,"1. 북어포를 준비해주세여.머리랑 꼬리는 잘라주시고 지느러미도 정리해주세요.그리고 등쪽에 껍질도 제거해주세요.그 다음 물에 5분~10분정도만 불려주세요.
2. 북어를 불리는 동안 위의 분량대로 넣어서 양념장을 만들어 주세요.
3. 불린 북어를 한번 꾹꾹 눌러서 물기를 짜 준 다음에키친타올에 올려 물기를 한번 더 제거해주세요.
4. 칼코를 이용해 북어 등쪽에 칼집을 콕콕콕 내주세요.
5. 먹기 좋은 크기로 잘라주세요.저는 일단 반으로 자른뒤 5등분 해줬어요~
6. 그 다음 통에 북어를 깔고 양념장 1t씩 북어살 안쪽에 뿌려주세요.
7. 북어->양념장->북어->양념장 순서대로 올려주세요.북어 크기에 따라 양념장이 남을수도 있고 안 남을수도 있지만남은 양념장은 과감히 버려주세요~이렇게 한 뒤 1시간정도 숙성시켜주세요.
8. 1시간 뒤에 간이 적절히 밴 북어를 찹쌀가루에 묻혀주세요.남은 찹쌀가루는 톡톡톡 털어주세요~
9. 달군 후라이팬에 기름을 넉넉히 두르고 찹쌀가루를 묻히 북어를 익혀주세요. (약간 튀긴듯한 느낌으로요)
10. 잘 구워준 북어갈비를 키친타올에 올려 불필요한 기름을 제거해주시면 완성!!!!!!!!!!"
토마토스파게티,면/만두,볶음,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,"1. 토마토에 열십자로 ('+' 이런 모양으로)칼집을 살짝만 내주세요~
2. 토마토가 충분히 담궈질 만큼 물을 끓인신 다음에 토마토를 아주 살짝만 넣었다가 빼주세요.절대 익히시면 안되요~
3. 양파랑 피망을 잘게 다져주세요.토마토도 껍질을 제거해주신 다음에 싸를 빼고 잘게 다져서 준비해주세요.꼭 생토마토 이용안하셔도 상관없어요.
4. 둘레가 넓은 냄비를 사용하셔서물을 끓이신 다음에 소금1T를 넣어주세요. 저같이 알단테(중간에 심이 보이는 정도)를 좋아하시는 분들은 7분정도푹 익힌 면을 좋아하시는 분들은 10분정도 익혀주세요.
5. 달군 후라이팬에 올리브유3T를 두르고다진 마늘을 볶아 향을 내주세요.
6. 그 다음 양파와 피망을 넣고 잘 볶아주세요.
7. 먼저 페이스트를 넣고 살짝 볶으신 다음에 토마토를 넣어주세요. 위에 과정대로 잘 볶으시면 소스가 약간 되직해져요.
8. 이때 면 삶은 물 1C을 넣어서 보글보글 끓여주세요~토마토페이스트에 양념이 되어있어서 다른 간을 해주지 않았지만페이스트말고 생토마토나 케찹을 이용하시는 분들은소금, 후추, 오레가노등을 넣어서 간을 맞춰주세요.~
9. 5~10분 정도 끓여주면적절한 농도의 토마토소스가 완성되요~이 토마토소스를 이용해서 피자소스로도 이용하세요~"
표고버섯탕수,메인반찬,튀김,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,"1. 건표고를 따뜻한 물에 설탕을 1/2T 정도 넣고 불려주세요. 표고버섯이 다 불었으면 버섯기둥을 제거하고 버섯이 촉촉할 정도로만 물기를 짜서 준비해주세요.
2. 당근, 오이, 양파, 사과등은 썰어서 준비해주세요.이외에도 파인애플이나 오렌지 (흰부분은 완벽제거), 옥수수, 브로콜리등냉장고에 남아있는 야채와 과일들 총출동!! 시켜주세요.
3. 레시피에 제시한 탕수소스를 녹말물만 제거하고 미리 만들어 두세요.설탕이 다 녹도록 잘 저어서 준비해주세요
4. 냄비 기름을 두르지 않고 사과 (준비하신 과일)을 빼고 야채들을 잘 볶아주세요.
5. 그 다음 미리 만들어둔 탕수소스를 넣고 이때 과일을 넣어주세요.그리고 부글부글 끓여준 다음에 녹말물을 넣어서 농도를 조절해주세요.표고버섯을 튀기는 동안 식지 않도록 약한불에서 가끔씩 저어주시면서 따뜻하게 준비해주세요.
6. 불린 표고를 먹기 좋게 등분해주세요.그 다음 간장1T, 참기름1T를 넣어 유장처리를 해줍니다.이래야지 표고에도 간이 적절하게 배더라구요.
7. 일단 녹말가루2C, 물1C을 넣고 잘 섞어주신 다음 2~6시간 정도 그냥 놓아두세요.그러면 녹말은 가라앉는데 그때 위에 남아있는 물을 제거하세요.그럼 된녹말이 되는데요.여기에다가 계란 노른자를 넣어서 잘 섞어주시면 튀김옷이 완성입니다
8. 유장처리한 표고를 녹말튀김옷에 입힌 후 기름 180C (녹말튀김옷을 떨어뜨려 중간정도 갔다가 올라오면)에서 바삭바삭하게 튀겨주세요.튀기는 중간중간에 건져내어 탁탁탁 쳐주세요.그 다음 한번 더 튀겨주세요. 총2번
9. 잘 튀겨진 표고버섯에 탕수소스를 쫘-악- 뿌리면 표고버섯탕수 완성♥"
갈릭치킨,메인반찬,튀김,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,"1. 닭은 미리 잘라져 있는걸 사거나 잘라달라고 하세요~물로 깨끗히 씻으면서 붙어있는 기름을 제거해주시구요.화이트와인 또는 우유에 1시간 정도 담궈서 비린내를 제거해주세요. 이때 마늘솔트나 다진마늘을 함께 넣어주세요
2. 1시간이 지난뒤 와인 또는 우유를 따라 버리고 다진마늘1T, 올리브유를 뿌려서 골고루 버무려 줍니다. 올리브유 대신 버터를 사용해도 좋아요~
3. 이렇게 골고루 버무려 줍니다.다진마늘 대신 마늘을 편으로 썰어서 해줘도 좋을거 같아요~그리고 다시 한번 마늘솔트나 소금을 이용해서 간을 해주세요~
4. 그 다음 닭끼리 겹치지 않도록 팬에 올려놓고구워줍니다.저는 자동버튼 '로스트치킨'버튼을 이용했는데요.200C예열해서 20~30분간 구워주면 OK~혹시 오븐이 없으신분들은 후라이팬을 이용해주세요.기름을 살짝 두른 뒤에 갈릭치킨을 올린 다음 뚜껑을 덮고 구워주시면 되요-
5. 갈릭치킨을 굽는동안통마늘을 준비해주세요.그 다음 살짝 올리브유를 둘러주고 소금으로 간을 해주세요. 저는 허브솔트를 사용했어요. 갈릭치킨을 구워주면서 꺼내기 5~10분전에 넣어서 구워주세요.처음부터 같이 넣으면 마늘이 형태도 없이 다 뭉그러지더라구요~ 저는 27분 굽고 또 뒤집어서 10분정도 구웠답니다."
양파링튀김,디저트,튀김,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,"1. 양파는 좀 두껍게 썰어주세요.1cm정도로 써신 다음에 키친타올을 이용해서 한번씩 꾹꾹 눌러서 물기를 제거헤주세요~
2. 빵가루에 미리 파슬리 가루를 조금 넣어서 섞어주세요~향도 좋아지고 보기에도 이쁘답니다~
3. 먼저 양파에 밀가루를 묻혀주세요~
4. 요렇게 얇게 밀가루옷을 입혀주세요~묻히다 보니 양파는 조금 작은걸 사용하시는게 좋을거 같아요~
5. 그 다음 밀가루1C, 달걀노른자, 찬물을 넣어서 조금 묽게 튀김옷을 만들어 주세요~그 다음 밀가루옷을 입힌 양파를 튀김물을 한번 더 입혀주세요~
6. 튀김물을 입힌 양파를 이제는 파슬리를 넣은 빵가루를 묻혀주세요~
7. 달군 후라이팬에 기름을 넣으시고노릇노릇하게 튀겨주세요~금방익으니깐 불을 너무 세게 하시지는 마세요~"
참치삼각김밥,밥/죽/떡,기타,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,"1. 참치 1캔을 3등분해서 기름을 뺀 뒤 각각 그릇에 담은 뒤
2. [참치마요] 참치1/3캔, 마요네즈1T, 곱게 다진 양파1/6개를 잘 섞어주세요.양파대신 피클을 넣으셔도 되구요~ 맛살을 곱게 다져서 넣어주셔도 되요~
3. [참치김치] 참치1/3캔, 다진김치1/8
4. 포기김치는 적당량 준비하시면 되요~그 다음 후라이팬에 참기름1t를 넣으신 다음에 다진 김치를 넣고 볶으시면 되요~이때 김치국물을 넣어서 간을 적절하게 맞춰주세요~
5. [참치고추장] 참치1/3캔, 고추장1T, 다진마늘1/2t
6. 후라이팬에 식용유를 살짝 두른뒤 참치를 볶다가 다진마늘을 넣고 고추장을 넣어서 볶아주세요.고추장이 워낙 질어서 잘 안 볶아지거든요~그냥 살짝살짝 볶는다는 생각으로 볶아주세요~
7. 자 위의 레시피대로 하시면 요렇게 삼각김밥 속 재료가 완성됩니다~첫번째는 참치마요, 두번째는 참치고추장, 세번째는 참치김치 입니다~
8. 고슬고슬 지어진 밥에 참기름1T와 맛소금1t 를 넣고 잘 섞어주세요~
9. 삼각김밥 틀에 밥 1주걱을 넣은다음 숟가락을 이용해서 꼼꼼히 채워주세요~
10. 그 다음 요렇게 속재료를 가운데로 해서 도톰하게 넣어주세요~그 위에 다시 밥 1주걱을 넣고 틀을 꾹- 눌러주세요~
11. 그 다음 틀을 빼면 이렇게 이쁜 삼각형의 주먹밥이 완성됩니다~
12. 참치속재료 삼총사를 넣은 삼각김밥 삼총사가 완성됐어요~하지만 이렇게 하면 밋밋하죠~김밥용 김을 삼각김밥 크기에 맞게 잘라주셔서 이쁘게 감싸주시면 완성~"
